names,awb,addresses,product_id
Kimberly Rogers,33537491493,"2011,1st Floor, HAL 2nd Stage,100 Feet Road, Indiranagar, Bangalore",SKU_26
Gerald Chang,61555330868,"184, 1st Floor, Opposite Kaveri School, Indiranagar, Bangalore",SKU_115
Gary Luhnow,92158189502,"WJ2P+F75, Param Prasada Church Rd, Popular Colony, Garvebhavi Palya, Bengaluru, Karnataka 560068",SKU_90
Mary Gunn,59425266508,"9th Cross Rd, Ananth Nagar Phase 2, Phase 1, Kammasandra, Electronic City, Bengaluru, Karnataka 560100",SKU_102
Bryan Rios,26738855919,"3rd and 4th floor, Sector 3 1085, 14th Main Road, 18th Cross Rd, HSR Layout, Bengaluru, Karnataka 560102",SKU_25
Victoria Earley,77332784694,"1562, Sector 1, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_109
Deanna Chappell,41016939473,"Neeladri Rd, Electronics City Phase 1, Doddathoguru, Bengaluru, Karnataka 560100",SKU_13
Grant Shape,23434761669,"433/10,, Hosur Main Road, Garvebhavipalya Bommanahalli, Bandepalya, Garvebhavi Palya, Bengaluru, Karnataka 560068",SKU_26
Earl Barrett,89310087180,"1702, ground floor, 19th Main Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_114
Laura Hulet,41642501692,"Jigani, 1st Phase, Bangalore, SH-87, Bannerghatta Main Road, Anekal, Anekal, Bengaluru, Karnataka 562105",SKU_124
Marvin Kightlinger,12323732343,"56-D, Wipro Avenue, Opp. Wipro Gate no. 5, Electronics City Phase 1, Electronics City, Bengaluru, Karnataka 560100",SKU_113
Billie Deleon,13864255008,"RMWJ+X9M, Shanthipura road, beside ashraya pg, Doddanagamangala, Phase 2, Electronic, Bengaluru, Karnataka 560100",SKU_8
Charles Nava,25490807661,"Velankani Drive, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",SKU_39
Sharyl Guo,72912085714,"7, Service Rd, Lavakusha Nagar, Pragathi Nagar, Electronic City, Bengaluru, Karnataka 560100",SKU_141
Laverne Hill,87774595058,"QPW4+FMH, Venkateshappa Layout, Teachers Colony, Chandapura, Bommasandra, Bengaluru, Karnataka 562107",SKU_28
Estela Smith,20871593493,"450, 17th Cross Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",SKU_130
William Reed,84998358954,"Near ND Sepal Apartment 75/1, Little Elly School Road HSR layout, Sector 2, Somasundarapalya, Bengaluru, Karnataka 560102",SKU_84
Randell Mccarty,71333227493,"RJRX+G3V, 12th Cross Rd, Neeladri Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_51
Timothy Schulz,19724825034,"1554, Ground Floor, 19th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_138
Crystal Evans,47310519487,"28, 14th Main Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",SKU_23
Michael Smallwood,76776163464,"172, 9th Main Rd, next to Corner House, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_82
Ernest Hawkins,96343154078,"2318, 17th cross, 27th Main Rd, near NIFT collage, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_101
Carlos Brown,52669683639,"756/L-186, near Silk Board junction, 6th Sector, Santhosapuram, Venkatapura, HSR Layout, Bengaluru, Karnataka 560034",SKU_149
John Hogston,86243159782,"#1515, Ananda Nilaya, 19th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_124
Gale Delvecchio,52447688755,"BDA Complex, #19, HSR Layout, Bengaluru, Karnataka 560102",SKU_88
Heather Blocker,42264678335,"Oyester Inn, #V-8, 3rd cross, keonics Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_50
Theresa Norrell,63310204808,"K137, Neeladri Rd, Karuna Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_61
Daniel Gariepy,35440397943,"VM24+XW7, Celebrity Layout, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",SKU_21
Chad Wachsman,60606084475,"10th cross, Anantha Nagar Rd , Kammasandra, Phase 1, Phase 2, Electronic City, Bengaluru, Karnataka 560100",SKU_61
Heather Olenius,49442730641,"14th Cross Road, 9th Main Rd, 6th sector, HSR Layout, Bengaluru, Karnataka 560012",SKU_4
Randy Escobedo,90466477665,"1, 5th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560034",SKU_116
Kevin Cordero,23907445782,"#9,Near, Owners Court Layout, Kasavanahalli, Karnataka 560035",SKU_98
Maricela Wertz,92656655713,"710, Varthur Rd, Whitefield, Ramagondanahalli, Brookefield, Bengaluru, Karnataka 560066",SKU_106
Brian Wilshire,96239481468,"AJ Forte, #2343, 17th Cross Rd, Vanganahalli, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_23
Richard Spence,84652711650,"RMWJ+X9M, Shanthipura road, beside ashraya pg, Doddanagamangala, Phase 2, Electronic, Bengaluru, Karnataka 560100",SKU_59
Mary Romero,29898237261,"17th Cross Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",SKU_50
Joanne Ceraos,61971193884,"1, 5th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560034",SKU_11
Ruth Galindez,43742937721,"Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_133
Linda Ortiz,37901554786,"#21, 5th Cross, Vidyanagar, Hosur Road, Bommasandra, near Electronic City, Bengaluru, Karnataka 560099",SKU_96
Garry Scott,87482500526,"79, 1st Main Rd, Vinayaka Nagar, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_103
Manuela Ruff,68376446214,"No.36, 1st Floor, 80 Feet Road, 14th Main Rd, beside Mc Donald's, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_11
Terence Vanduzer,51546211450,"Hosur Rd, beside A2B Hotel, Bommasandra Industrial Area, Bengaluru, Karnataka 560099",SKU_24
Mia Kane,17232263084,"Muniswamy Layout, Phase 2, Electronic City, Bengaluru, Karnataka 560100",SKU_147
Kathy Barth,26836458429,"WJ6Q+R54, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_18
Jim Stanley,50163226973,"150, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_19
Leslie Pettie,28567984315,"#1543, 7th Cross, 19th Main, Opp BMTC Bus Depot, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_117
Charlotte Henkel,27771483929,"#436, 7th Main 6th Cross, behind oxford collage, Bommanahalli, Bengaluru, Karnataka 560068",SKU_100
Gloria Hardy,96981171208,"#253, 17th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_43
Derrick Hunnicutt,39787624663,"RMW5+GF3, Velankani Drive, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_29
William Large,76807088836,"Shop No.4, Ajmera Avenue, Neeladri Rd, Karuna Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_127
Margaret Pearce,92814347367,"149, 5th Main Rd, Teacher's Colony, Jakkasandra, Sector 6, HSR Layout, Bengaluru, Karnataka 560034",SKU_140
Cari Smith,49083333616,"2625, 27th Main Rd, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_90
Larry Marino,37674272479,"WJ6Q+656, 1669A, 14th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_43
Wilbur Lapidus,38817788743,"647, 27th Main Rd, Sector 5, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_95
Rachael Deleon,38930923370,"No.47, 1, Kothnur Main Rd, opp. Visha Mega Mart, Nayak Layout, 8th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",SKU_45
Mary Frankenfield,78306360745,"670, 13th Cross Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_90
Albert Childs,62524358221,"40, 7th Cross Road, Neeladri Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_122
George Beebe,90186283169,"249, 14th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_125
Alfred Killay,56079417088,"Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",SKU_19
Lorine Winkler,97332754808,"1558, 19th Main Rd, near Indian Oil Petrol bunk, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_43
Bernard Mullett,19512128963,"Fruit market road, Shantipura, Phase 2, Electronic City, Bengaluru, Karnataka 560100",SKU_128
Erik Estrella,66518720064,"Samsung service centre, 24th Main Rd, Next to, Vanganahalli, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_52
